chrom	start	end	name	ctcf_occupancy	ctcf_frac
chr1	2233992	2235202	CTCF_223	6	0.1017
chr1	2237560	2238463	CTCF_224	26	0.4407
chr1	2242731	2242891	CTCF_225	1	0.0169
chr1	2248462	2248873	CTCF_226	2	0.0339
chr1	2257300	2257690	CTCF_227	1	0.0169
chr1	2274452	2274896	CTCF_228	3	0.0508
chr1	2275928	2276777	CTCF_229	6	0.1017
chr1	2299011	2299307	CTCF_230	1	0.0169
chr1	2301056	2301582	CTCF_231	1	0.0169
chr1	2307687	2307967	CTCF_232	1	0.0169
chr1	2311296	2312219	CTCF_233	45	0.7627
chr1	2314779	2315897	CTCF_234	58	0.9831
chr1	2316072	2316382	CTCF_235	1	0.0169
chr1	2318840	2319344	CTCF_236	1	0.0169
chr1	2322076	2322922	CTCF_237	19	0.322
chr1	2326388	2327038	CTCF_238	2	0.0339
chr1	2330822	2331402	CTCF_239	7	0.1186
chr1	2348095	2348325	CTCF_240	1	0.0169
chr1	2360093	2360469	CTCF_241	1	0.0169
chr1	2373789	2374439	CTCF_242	8	0.1356
chr1	2381463	2383261	CTCF_243	59	1.0
chr1	2385028	2385258	CTCF_244	1	0.0169
chr1	2391486	2392098	CTCF_245	7	0.1186
chr1	2406647	2407478	CTCF_246	13	0.2203
chr1	2412461	2413306	CTCF_247	4	0.0678
chr1	2414028	2415038	CTCF_248	59	1.0
chr1	2415569	2416482	CTCF_249	10	0.1695
chr1	2429872	2430774	CTCF_250	39	0.661
chr1	2441840	2442230	CTCF_251	1	0.0169
chr1	2443710	2444630	CTCF_252	26	0.4407
chr1	2447934	2448514	CTCF_253	2	0.0339
chr1	2452854	2453244	CTCF_254	1	0.0169
chr1	2459658	2460315	CTCF_255	22	0.3729
chr1	2467119	2467623	CTCF_256	1	0.0169
chr1	2483132	2483316	CTCF_257	1	0.0169
chr1	2503937	2504217	CTCF_258	1	0.0169
chr1	2514987	2515691	CTCF_259	19	0.322
chr1	2523502	2524289	CTCF_260	10	0.1695
chr1	2525354	2526449	CTCF_261	15	0.2542
chr1	2528050	2528460	CTCF_262	1	0.0169
chr1	2528818	2529691	CTCF_263	13	0.2203
chr1	2530987	2531434	CTCF_264	3	0.0508
chr1	2539141	2540031	CTCF_265	38	0.6441
chr1	2543768	2544114	CTCF_266	3	0.0508
chr1	2546266	2547418	CTCF_267	24	0.4068
chr1	2547622	2549492	CTCF_268	59	1.0
chr1	2551617	2552192	CTCF_269	3	0.0508
chr1	2554753	2555633	CTCF_270	53	0.8983
chr1	2555802	2556875	CTCF_271	20	0.339
chr1	2557021	2557924	CTCF_272	11	0.1864
chr1	2561714	2562671	CTCF_273	43	0.7288
chr1	2578285	2579185	CTCF_274	42	0.7119
chr1	2583329	2584033	CTCF_275	1	0.0169
chr1	2585420	2586035	CTCF_276	6	0.1017
chr1	2586209	2586685	CTCF_277	2	0.0339
chr1	2598362	2598875	CTCF_278	6	0.1017
chr1	2631582	2631938	CTCF_279	2	0.0339
chr1	2632558	2632788	CTCF_280	1	0.0169
chr1	2639256	2639525	CTCF_281	2	0.0339
chr1	2641453	2641683	CTCF_282	1	0.0169
chr1	2642521	2644048	CTCF_283	28	0.4746
chr1	2786394	2787331	CTCF_284	49	0.8305
chr1	2787500	2787730	CTCF_285	1	0.0169
chr1	2801457	2802316	CTCF_286	32	0.5424
chr1	2821622	2822726	CTCF_287	40	0.678
chr1	2840278	2840982	CTCF_288	8	0.1356
chr1	2858730	2858990	CTCF_289	1	0.0169
chr1	2859873	2860163	CTCF_290	2	0.0339
chr1	2861867	2862097	CTCF_291	1	0.0169
chr1	2867776	2868226	CTCF_292	4	0.0678
chr1	2875801	2876381	CTCF_293	21	0.3559
chr1	2913300	2913535	CTCF_294	2	0.0339
chr1	2914653	2915117	CTCF_295	5	0.0847
chr1	2921898	2922791	CTCF_296	48	0.8136
chr1	2946121	2946801	CTCF_297	3	0.0508
chr1	2949908	2950298	CTCF_298	1	0.0169
chr1	2985950	2986594	CTCF_299	1	0.0169
chr1	2988246	2988636	CTCF_300	1	0.0169
chr1	3012263	3013183	CTCF_301	53	0.8983
chr1	3023745	3024737	CTCF_302	14	0.2373
chr1	3056302	3056891	CTCF_303	2	0.0339
chr1	3060234	3060458	CTCF_304	1	0.0169
chr1	3061082	3061662	CTCF_305	1	0.0169
chr1	3063722	3064092	CTCF_306	1	0.0169
chr1	3066100	3066586	CTCF_307	34	0.5763
chr1	3069472	3070394	CTCF_308	34	0.5763
chr1	3070847	3071351	CTCF_309	1	0.0169
chr1	3079714	3080369	CTCF_310	1	0.0169
chr1	3119730	3120310	CTCF_311	7	0.1186
chr1	3130410	3130640	CTCF_312	1	0.0169
chr1	3135312	3136007	CTCF_313	1	0.0169
chr1	3140431	3140867	CTCF_314	1	0.0169
chr1	3170817	3171273	CTCF_315	1	0.0169
chr1	3172556	3172740	CTCF_316	1	0.0169
chr1	3174672	3175177	CTCF_317	2	0.0339
chr1	3186592	3187002	CTCF_318	1	0.0169
chr1	3188355	3188850	CTCF_319	2	0.0339
chr1	3195208	3195664	CTCF_320	2	0.0339
chr1	3226992	3227496	CTCF_321	2	0.0339
chr1	3240728	3241184	CTCF_322	1	0.0169
chr1	3252049	3252405	CTCF_323	1	0.0169
chr1	3278358	3279021	CTCF_324	1	0.0169
chr1	3283690	3284698	CTCF_325	55	0.9322
chr1	3292002	3292458	CTCF_326	1	0.0169
chr1	3293625	3293905	CTCF_327	2	0.0339
chr1	3306937	3307517	CTCF_328	2	0.0339
chr1	3308030	3308500	CTCF_329	2	0.0339
chr1	3313347	3313817	CTCF_330	1	0.0169
chr1	3319713	3320672	CTCF_331	56	0.9492
chr1	3349557	3350237	CTCF_332	18	0.3051
chr1	3350741	3351454	CTCF_333	10	0.1695
chr1	3356558	3356742	CTCF_334	1	0.0169
chr1	3357049	3357485	CTCF_335	2	0.0339
chr1	3362444	3363024	CTCF_336	2	0.0339
chr1	3377593	3378029	CTCF_337	3	0.0508
chr1	3393701	3394171	CTCF_338	1	0.0169
chr1	3402921	3403217	CTCF_339	1	0.0169
chr1	3403237	3404113	CTCF_340	29	0.4915
chr1	3410027	3410875	CTCF_341	41	0.6949
chr1	3413856	3414712	CTCF_342	5	0.0847
chr1	3417019	3417725	CTCF_343	40	0.678
chr1	3422697	3422881	CTCF_344	1	0.0169
chr1	3423461	3423871	CTCF_345	1	0.0169
chr1	3424447	3425335	CTCF_346	59	1.0
chr1	3431150	3432075	CTCF_347	33	0.5593
chr1	3452833	3453809	CTCF_348	59	1.0
chr1	3454005	3454923	CTCF_349	46	0.7797
chr1	3457623	3457807	CTCF_350	1	0.0169
chr1	3471619	3472427	CTCF_351	36	0.6102
chr1	3473067	3473717	CTCF_352	2	0.0339
chr1	3478087	3478271	CTCF_353	1	0.0169
chr1	3480430	3480786	CTCF_354	1	0.0169
chr1	3482329	3483076	CTCF_355	27	0.4576
chr1	3483560	3484474	CTCF_356	59	1.0
chr1	3489133	3489413	CTCF_357	1	0.0169
chr1	3490836	3492126	CTCF_358	59	1.0
chr1	3504519	3505099	CTCF_359	1	0.0169
chr1	3517955	3518896	CTCF_360	53	0.8983
chr1	3524844	3525154	CTCF_361	2	0.0339
chr1	3530394	3531317	CTCF_362	11	0.1864
chr1	3533374	3533954	CTCF_363	10	0.1695
chr1	3536661	3536971	CTCF_364	1	0.0169
chr1	3541931	3542511	CTCF_365	4	0.0678
chr1	3551310	3552002	CTCF_366	2	0.0339
chr1	3560199	3560479	CTCF_367	1	0.0169
chr1	3564905	3565928	CTCF_368	59	1.0
chr1	3587049	3588700	CTCF_369	8	0.1356
chr1	3590610	3590904	CTCF_370	2	0.0339
chr1	3591323	3592227	CTCF_371	8	0.1356
chr1	3614887	3615774	CTCF_372	56	0.9492
chr1	3618728	3619714	CTCF_373	59	1.0
chr1	3620072	3620528	CTCF_374	1	0.0169
chr1	3620868	3621926	CTCF_375	57	0.9661
chr1	3624295	3625213	CTCF_376	4	0.0678
chr1	3625709	3625893	CTCF_377	1	0.0169
chr1	3630330	3630750	CTCF_378	1	0.0169
chr1	3649623	3650532	CTCF_379	35	0.5932
chr1	3664260	3664584	CTCF_380	2	0.0339
chr1	3673102	3674034	CTCF_381	11	0.1864
chr1	3677095	3677418	CTCF_382	7	0.1186
chr1	3678353	3678529	CTCF_383	1	0.0169
chr1	3689748	3690607	CTCF_384	2	0.0339
chr1	3695332	3696381	CTCF_385	57	0.9661
chr1	3702927	3703689	CTCF_386	11	0.1864
chr1	3724088	3725060	CTCF_387	59	1.0
chr1	3727091	3728063	CTCF_388	38	0.6441
chr1	3732711	3733021	CTCF_389	1	0.0169
chr1	3747150	3747594	CTCF_390	1	0.0169
chr1	3756443	3756627	CTCF_391	1	0.0169
chr1	3775685	3776674	CTCF_392	42	0.7119
chr1	3779651	3779881	CTCF_393	2	0.0339
chr1	3785270	3786026	CTCF_394	39	0.661
chr1	3788543	3789193	CTCF_395	1	0.0169
chr1	3795492	3796072	CTCF_396	1	0.0169
chr1	3796273	3796918	CTCF_397	11	0.1864
chr1	3797336	3797632	CTCF_398	1	0.0169
chr1	3801200	3802175	CTCF_399	53	0.8983
chr1	3806188	3807028	CTCF_400	6	0.1017
chr1	3810948	3811208	CTCF_401	3	0.0508
chr1	3821667	3821897	CTCF_402	2	0.0339
chr1	3827779	3828059	CTCF_403	4	0.0678
chr1	3856739	3857866	CTCF_404	37	0.6271
chr1	3858134	3859148	CTCF_405	20	0.339
chr1	3869809	3870389	CTCF_406	6	0.1017
chr1	3891044	3891400	CTCF_407	1	0.0169
chr1	3899434	3900302	CTCF_408	26	0.4407
chr1	3900447	3901479	CTCF_409	6	0.1017
chr1	3904811	3905167	CTCF_410	1	0.0169
chr1	3907025	3907705	CTCF_411	19	0.322
chr1	3910507	3911485	CTCF_412	59	1.0
chr1	3913311	3914162	CTCF_413	2	0.0339
chr1	3914370	3914600	CTCF_414	2	0.0339
chr1	4007466	4008110	CTCF_415	1	0.0169
chr1	4017386	4017836	CTCF_416	2	0.0339
chr1	4026850	4027300	CTCF_417	1	0.0169
chr1	4034701	4035158	CTCF_418	1	0.0169
chr1	4048124	4048420	CTCF_419	3	0.0508
chr1	4060864	4061148	CTCF_420	3	0.0508
chr1	4085518	4085702	CTCF_421	1	0.0169
chr1	4101439	4101943	CTCF_422	1	0.0169
chr1	4126952	4127136	CTCF_423	1	0.0169
chr1	4150179	4150615	CTCF_424	1	0.0169
chr1	4172566	4173678	CTCF_425	13	0.2203
chr1	4178603	4179053	CTCF_426	1	0.0169
chr1	4268864	4269300	CTCF_427	1	0.0169
chr1	4273183	4273687	CTCF_428	1	0.0169
chr1	4317206	4317642	CTCF_429	3	0.0508
chr1	4362588	4363038	CTCF_430	4	0.0678
chr1	4422439	4423089	CTCF_431	7	0.1186
chr1	4469594	4469824	CTCF_432	1	0.0169
chr1	4485433	4485937	CTCF_433	1	0.0169
chr1	4494500	4494957	CTCF_434	10	0.1695
chr1	4517110	4517546	CTCF_435	1	0.0169
chr1	4555530	4556275	CTCF_436	10	0.1695
chr1	4563789	4564013	CTCF_437	1	0.0169
chr1	4585053	4585922	CTCF_438	46	0.7797
chr1	4594270	4594934	CTCF_439	10	0.1695
chr1	4627249	4627753	CTCF_440	3	0.0508
chr1	4652215	4653291	CTCF_441	59	1.0
chr1	4655166	4655602	CTCF_442	1	0.0169
chr1	4656096	4656999	CTCF_443	52	0.8814
chr1	4658865	4659503	CTCF_444	2	0.0339
chr1	4673574	4673997	CTCF_445	2	0.0339
chr1	4694477	4695065	CTCF_446	8	0.1356
chr1	4700860	4701187	CTCF_447	7	0.1186
chr1	4720927	4721317	CTCF_448	3	0.0508
chr1	4742012	4742402	CTCF_449	4	0.0678
chr1	4768350	4769030	CTCF_450	4	0.0678
chr1	4777831	4778708	CTCF_451	29	0.4915
chr1	4796632	4797024	CTCF_452	5	0.0847
chr1	4825896	4826795	CTCF_453	40	0.678
chr1	4916563	4917067	CTCF_454	1	0.0169
chr1	4929497	4929933	CTCF_455	1	0.0169
chr1	4935778	4936248	CTCF_456	1	0.0169
chr1	4957724	4958404	CTCF_457	1	0.0169
chr1	5099446	5100096	CTCF_458	2	0.0339
chr1	5119373	5120053	CTCF_459	12	0.2034
chr1	5125155	5125591	CTCF_460	1	0.0169
chr1	5155849	5156357	CTCF_461	3	0.0508
chr1	5232586	5232902	CTCF_462	1	0.0169
chr1	5254477	5255047	CTCF_463	1	0.0169
chr1	5273268	5273592	CTCF_464	1	0.0169
chr1	5286091	5287008	CTCF_465	22	0.3729
chr1	5335951	5336521	CTCF_466	1	0.0169
chr1	5340802	5341118	CTCF_467	1	0.0169
chr1	5349526	5349749	CTCF_468	1	0.0169
chr1	5370463	5370677	CTCF_469	1	0.0169
chr1	5393472	5394708	CTCF_470	6	0.1017
chr1	5406389	5407019	CTCF_471	1	0.0169
chr1	5415658	5416094	CTCF_472	1	0.0169
chr1	5427304	5427564	CTCF_473	2	0.0339
chr1	5444288	5445137	CTCF_474	3	0.0508
chr1	5448299	5449224	CTCF_475	7	0.1186
chr1	5456183	5456412	CTCF_476	1	0.0169
chr1	5481407	5482792	CTCF_477	11	0.1864
chr1	5483150	5483720	CTCF_478	1	0.0169
chr1	5509532	5510530	CTCF_479	59	1.0
chr1	5513456	5513740	CTCF_480	1	0.0169
chr1	5514218	5515271	CTCF_481	59	1.0
chr1	5597103	5597753	CTCF_482	1	0.0169
chr1	5598355	5599122	CTCF_483	15	0.2542
chr1	5599364	5599814	CTCF_484	3	0.0508
chr1	5603502	5604797	CTCF_485	2	0.0339
chr1	5620481	5620741	CTCF_486	2	0.0339
chr1	5620844	5621761	CTCF_487	33	0.5593
chr1	5636994	5637793	CTCF_488	37	0.6271
chr1	5640702	5641630	CTCF_489	15	0.2542
chr1	5652222	5652872	CTCF_490	2	0.0339
chr1	5690214	5690723	CTCF_491	2	0.0339
chr1	5719081	5719761	CTCF_492	4	0.0678
chr1	5745489	5746486	CTCF_493	59	1.0
chr1	5752265	5752794	CTCF_494	4	0.0678
chr1	5767941	5768445	CTCF_495	5	0.0847
chr1	5830561	5831479	CTCF_496	18	0.3051
chr1	5858977	5859161	CTCF_497	1	0.0169
chr1	5860168	5860672	CTCF_498	1	0.0169
chr1	5877430	5877710	CTCF_499	1	0.0169
chr1	5888552	5889022	CTCF_500	11	0.1864
chr1	5893438	5894410	CTCF_501	40	0.678
chr1	5897217	5897721	CTCF_502	1	0.0169
chr1	5908485	5908875	CTCF_503	1	0.0169
chr1	5913515	5913795	CTCF_504	1	0.0169
chr1	5915680	5916837	CTCF_505	57	0.9661
chr1	5921758	5922068	CTCF_506	2	0.0339
chr1	5939110	5939760	CTCF_507	2	0.0339
chr1	5949190	5950282	CTCF_508	24	0.4068
chr1	5950559	5950883	CTCF_509	1	0.0169
chr1	5961837	5961963	CTCF_510	1	0.0169
chr1	5973678	5974258	CTCF_511	11	0.1864
chr1	5974930	5975873	CTCF_512	58	0.9831
chr1	5980215	5980995	CTCF_513	17	0.2881
chr1	5992148	5993193	CTCF_514	14	0.2373
chr1	5993670	5994453	CTCF_515	2	0.0339
chr1	5994490	5995751	CTCF_516	14	0.2373
chr1	6001310	6001979	CTCF_517	3	0.0508
chr1	6002943	6003432	CTCF_518	5	0.0847
chr1	6005635	6005819	CTCF_519	1	0.0169
chr1	6025340	6025516	CTCF_520	1	0.0169
chr1	6027341	6027625	CTCF_521	1	0.0169
chr1	6028407	6029111	CTCF_522	3	0.0508
chr1	6034117	6035062	CTCF_523	56	0.9492
chr1	6035560	6036262	CTCF_524	12	0.2034
chr1	6037240	6037556	CTCF_525	1	0.0169
chr1	6041221	6042200	CTCF_526	53	0.8983
chr1	6048112	6048372	CTCF_527	2	0.0339
chr1	6052568	6053596	CTCF_528	55	0.9322
chr1	6058480	6058950	CTCF_529	2	0.0339
chr1	6080536	6081362	CTCF_530	21	0.3559
chr1	6082190	6082956	CTCF_531	35	0.5932
chr1	6099559	6100411	CTCF_532	20	0.339
chr1	6105044	6106031	CTCF_533	15	0.2542
chr1	6106990	6107620	CTCF_534	1	0.0169
chr1	6107716	6108399	CTCF_535	1	0.0169
chr1	6108638	6109569	CTCF_536	43	0.7288
chr1	6117500	6118150	CTCF_537	2	0.0339
chr1	6128011	6128195	CTCF_538	1	0.0169
chr1	6137776	6138291	CTCF_539	4	0.0678
chr1	6141461	6142289	CTCF_540	20	0.339
